"filename", "language", "Markdown", "Makefile", "C++", "HTML", "Shell Script", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"/home/matvey/Рабочий стол/C/myProgLanguage/Frontened/Makefile", "Makefile", 0, 31, 0, 0, 0, 0, 0, 0, 3, 14, 48
"/home/matvey/Рабочий стол/C/myProgLanguage/Frontened/include/codeGeneration_(refactorToTokens).h", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/home/matvey/Рабочий стол/C/myProgLanguage/Frontened/include/constants.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 1, 2, 12
"/home/matvey/Рабочий стол/C/myProgLanguage/Frontened/include/createPredprocessingTree.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"/home/matvey/Рабочий стол/C/myProgLanguage/Frontened/include/refactorToTokens.h", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/home/matvey/Рабочий стол/C/myProgLanguage/Frontened/include/workWithFile.h", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 10, 3, 19
"/home/matvey/Рабочий стол/C/myProgLanguage/Frontened/source/createPredprocessingTree.cpp", "C++", 0, 0, 388, 0, 0, 0, 0, 0, 15, 52, 455
"/home/matvey/Рабочий стол/C/myProgLanguage/Frontened/source/main.cpp", "C++", 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 49
"/home/matvey/Рабочий стол/C/myProgLanguage/Frontened/source/readFile.cpp", "C++", 0, 0, 34, 0, 0, 0, 0, 0, 9, 12, 55
"/home/matvey/Рабочий стол/C/myProgLanguage/Frontened/source/refactorToTokens.cpp", "C++", 0, 0, 137, 0, 0, 0, 0, 0, 9, 31, 177
"/home/matvey/Рабочий стол/C/myProgLanguage/General/errors.h", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/home/matvey/Рабочий стол/C/myProgLanguage/General/graphDump/choose_color_and_name_byType.cpp", "C++", 0, 0, 121, 0, 0, 0, 0, 0, 0, 45, 166
"/home/matvey/Рабочий стол/C/myProgLanguage/General/graphDump/graphDump.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 16, 7, 31
"/home/matvey/Рабочий стол/C/myProgLanguage/General/graphDump/wrDotFile.cpp", "C++", 0, 0, 89, 0, 0, 0, 0, 0, 0, 16, 105
"/home/matvey/Рабочий стол/C/myProgLanguage/General/graphDump/wrPngFile.cpp", "C++", 0, 0, 28, 0, 0, 0, 0, 0, 1, 6, 35
"/home/matvey/Рабочий стол/C/myProgLanguage/General/programTree/tree.h", "C++", 0, 0, 61, 0, 0, 0, 0, 0, 23, 17, 101
"/home/matvey/Рабочий стол/C/myProgLanguage/General/programTree/treeFuncs.cpp", "C++", 0, 0, 85, 0, 0, 0, 0, 0, 8, 24, 117
"/home/matvey/Рабочий стол/C/myProgLanguage/General/treeTransfer/pullTree.cpp", "C++", 0, 0, 61, 0, 0, 0, 0, 0, 0, 12, 73
"/home/matvey/Рабочий стол/C/myProgLanguage/General/treeTransfer/pushTree.cpp", "C++", 0, 0, 31, 0, 0, 0, 0, 0, 0, 9, 40
